Date,Name,Purchase Order,Item,Quantity,Quantity Fulfilled/Received,Destination,Vendor Ship Date,Expected Receipt Date,Amount,Confirmed,Blanket PO
2/25/2021,"Foshan Daide Bags Co., LTD",PO11408,1528,7830,7830,BPUT1,9/28/2021,11/27/2021,64362.6,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11408,1528,4860,4860,BPUT1,10/10/2021,12/9/2021,39949.2,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11408,1528,10860,0,BPUT1,11/15/2021,1/14/2022,89269.2,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11410,5284,5300,0,Import,11/15/2021,1/14/2022,63706,No,Yes
2/25/2021,"Foshan Daide Bags Co., LTD",PO11411,5284,5300,0,Import,11/15/2021,1/14/2022,63706,No,Yes
3/8/2021,Shining Era Enterprise Limited,PO11599,1969,2960,2960,Fleming Sales,10/30/2021,12/29/2021,142020.8,Yes,No
3/8/2021,Shining Era Enterprise Limited,PO11599,1867,2944,2944,Fleming Sales,11/15/2021,1/16/2022,116817.92,Yes,No
3/8/2021,Shining Era Enterprise Limited,PO11599,1969,40,0,Fleming Sales,10/30/2021,12/29/2021,1919.2,Yes,No
3/8/2021,Shining Era Enterprise Limited,PO11599,1867,56,0,Fleming Sales,11/15/2021,1/16/2022,2222.08,Yes,No
3/10/2021,"Guangdong Canbo Electrical Co., LTD",PO11655,1901,1436,0,Import,10/30/2021,12/29/2021,266722.64,No,Yes
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 80203,200,200,BPUT1,,3/11/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 80303,100,0,BPUT1,10/21/2021,12/20/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 80405,100,0,BPUT1,10/5/2021,12/4/2021,0,Yes,No
3/11/2021,Shining Era Enterprise Limited,PO11662,RP 90007,260,260,BPUT1,,3/11/2021,0,Yes,No
